id,feature_id,feature_type,camera_heading,u,v,photo_wkt,sign_wkt
VID_20260226_110122-pos__0000330_d01,93300000908,hdSign,357.258213642016,2036,1252,POINT Z (117.36173482789522 39.98726153493002 6.006),POINT Z (117.36175413783266 39.987706231396 11.71624040775399)
VID_20260226_110122-pos__0000330_d02,93300000073,hdSign,357.258213642016,2255,1258,POINT Z (117.36173482789522 39.98726153493002 6.006),POINT Z (117.36182700939861 39.987707010330915 11.716237374410651)
VID_20260226_110122-pos__0000331_d01,93300000908,hdSign,357.179334793848,2078,1199,POINT Z (117.36172889267229 39.98735659111003 5.985),POINT Z (117.36175413783266 39.987706231396 11.71624040775399)
VID_20260226_110122-pos__0000331_d02,93300000073,hdSign,357.179334793848,2366,1207,POINT Z (117.36172889267229 39.98735659111003 5.985),POINT Z (117.36182700939861 39.987707010330915 11.716237374410651)
VID_20260226_110122-pos__0000332_d02,93300000073,hdSign,357.050358925043,2572,1109,POINT Z (117.36172261784532 39.9874510384109 5.971),POINT Z (117.36182700939861 39.987707010330915 11.716237374410651)
VID_20260226_110122-pos__0000333_d00,93300000908,hdSign,356.91908405269,2369,860,POINT Z (117.36171604802917 39.98754492980748 5.977),POINT Z (117.36175413783266 39.987706231396 11.71624040775399)
VID_20260226_110122-pos__0000333_d02,93300000075,hdSign,356.91908405269,2724,1316,POINT Z (117.36171604802917 39.98754492980748 5.977),POINT Z (117.36179065656728 39.98770627525398 7.76111434554759)
VID_20260226_110122-pos__0000333_d03,93300000073,hdSign,356.91908405269,3085,876,POINT Z (117.36171604802917 39.98754492980748 5.977),POINT Z (117.36182700939861 39.987707010330915 11.716237374410651)
VID_20260226_110122-pos__0000597_d00,93300000130,hdSign,9.669718493852,2364,1063,POINT Z (117.36387200048314 40.01175192872541 9.407),POINT Z (117.36398567830844 40.01195024810918 15.110856543817231)
VID_20260226_110122-pos__0000597_d02,93300000129,hdSign,9.669718493852,2738,1382,POINT Z (117.36387200048314 40.01175192872541 9.407),POINT Z (117.3640379780061 40.01194183224102 10.829148802517057)
VID_20260226_110122-pos__0000598_d00,93300000130,hdSign,9.673846619034,2776,710,POINT Z (117.3638914512811 40.01183956963561 9.553),POINT Z (117.36398567830844 40.01195024810918 15.110856543817231)
VID_20260226_110122-pos__0000598_d01,93300000131,hdSign,9.673846619034,3015,399,POINT Z (117.3638914512811 40.01183956963561 9.553),POINT Z (117.36400606943063 40.01194734123158 17.144672405366357)
VID_20260226_110122-pos__0000598_d02,93300000129,hdSign,9.673846619034,3536,1326,POINT Z (117.3638914512811 40.01183956963561 9.553),POINT Z (117.3640379780061 40.01194183224102 10.829148802517057)
VID_20260226_110122-pos__0000647_d01,93300000139,hdSign,5.248237267467,2894,580,POINT Z (117.36466040719304 40.016323329030556 12.835),POINT Z (117.36475339799357 40.01644003661787 18.93171630518166)
VID_20260226_110122-pos__0000647_d02,93300000141,hdSign,5.248237267467,3150,254,POINT Z (117.36466040719304 40.016323329030556 12.835),POINT Z (117.36477421919444 40.01643866865043 21.02542330775497)
VID_20260226_110122-pos__0000647_d03,93300000142,hdSign,5.248237267467,3642,1331,POINT Z (117.36466040719304 40.016323329030556 12.835),POINT Z (117.36480516093711 40.016435323343885 13.883684954222508)
VID_20260226_110122-pos__0000647_d04,93300000143,hdSign,5.248237267467,3636,858,POINT Z (117.36466040719304 40.016323329030556 12.835),POINT Z (117.36480680148807 40.0164351058716 16.944410978448577)
VID_20260226_110122-pos__0000675_d00,93300000163,hdSign,1.724743652346,2753,1062,POINT Z (117.36486678665096 40.01904545521527 10.762),POINT Z (117.36500892937394 40.01925329393489 15.996722794858135)
VID_20260226_110122-pos__0000675_d02,93300000165,hdSign,1.724743652346,3140,1386,POINT Z (117.36486678665096 40.01904545521527 10.762),POINT Z (117.36506282724046 40.01924786505097 11.717318599100837)
VID_20260226_110122-pos__0000694_d01,93300000170,hdSign,359.387365635548,2117,1152,POINT Z (117.36489865323841 40.02062487513793 11.308),POINT Z (117.36494432204267 40.020892486646844 16.961994048381115)
VID_20260226_110122-pos__0000694_d02,93300000172,hdSign,359.387365635548,2495,1136,POINT Z (117.36489865323841 40.02062487513793 11.308),POINT Z (117.365019072365 40.02089035460636 16.96199725143806)
VID_20260226_110122-pos__0000695_d00,93300000170,hdSign,359.304223373626,2222,1031,POINT Z (117.36489751417815 40.020697034267336 11.361),POINT Z (117.36494432204267 40.020892486646844 16.961994048381115)
VID_20260226_110122-pos__0000695_d01,93300000172,hdSign,359.304223373626,2758,1008,POINT Z (117.36489751417815 40.020697034267336 11.361),POINT Z (117.365019072365 40.02089035460636 16.96199725143806)
VID_20260226_110122-pos__0000696_d00,93300000171,hdSign,359.333032484134,2330,441,POINT Z (117.36489633639103 40.02076966425963 11.423),POINT Z (117.36493349375243 40.02089288913678 19.16408128171435)
VID_20260226_110122-pos__0000696_d01,93300000170,hdSign,359.333032484134,2477,734,POINT Z (117.36489633639103 40.02076966425963 11.423),POINT Z (117.36494432204267 40.020892486646844 16.961994048381115)
VID_20260226_110122-pos__0000696_d02,93300000173,hdSign,359.333032484134,2970,1289,POINT Z (117.36489633639103 40.02076966425963 11.423),POINT Z (117.36498130974611 40.020891015569276 13.026378088838873)
VID_20260226_110122-pos__0000696_d03,93300000172,hdSign,359.333032484134,3418,686,POINT Z (117.36489633639103 40.02076966425963 11.423),POINT Z (117.365019072365 40.02089035460636 16.96199725143806)
VID_20260226_110122-pos__0000747_d00,93300000183,hdSign,357.323369234439,2390,1275,POINT Z (117.3647320854713 40.02482554454002 14.688),POINT Z (117.36474219375272 40.024632300790294 18.427137658366373)
VID_20260226_110122-pos__0000747_d01,93300000176,hdSign,357.323369234439,2321,1469,POINT Z (117.3647320854713 40.02482554454002 14.688),POINT Z (117.36480355847732 40.02510774985333 14.980134470513041)
VID_20260226_110122-pos__0000748_d00,93300000183,hdSign,357.30266116894,2634,1189,POINT Z (117.36472706237646 40.02490756642833 14.658),POINT Z (117.36474219375272 40.024632300790294 18.427137658366373)
VID_20260226_110122-pos__0000748_d01,93300000176,hdSign,357.30266116894,2530,1474,POINT Z (117.36472706237646 40.02490756642833 14.658),POINT Z (117.36480355847732 40.02510774985333 14.980134470513041)
VID_20260226_110122-pos__0000749_d00,93300000175,hdSign,357.298740510376,3336,941,POINT Z (117.36472202195517 40.02498969789584 14.623),POINT Z (117.36481926954845 40.025109411922664 18.177142061509375)
VID_20260226_110122-pos__0000749_d01,93300000176,hdSign,357.298740510376,3142,1494,POINT Z (117.36472202195517 40.02498969789584 14.623),POINT Z (117.36480355847732 40.02510774985333 14.980134470513041)
VID_20260226_110122-pos__0001332_d00,93300000699,hdSign,176.264156991391,2146,1278,POINT Z (117.3643356845103 40.02883046400022 13.141),POINT Z (117.36434066421496 40.02771384875171 17.76323065464003)
VID_20260226_110122-pos__0001332_d01,93300000696,hdSign,176.264156991391,2399,1265,POINT Z (117.3643356845103 40.02883046400022 13.141),POINT Z (117.36424653689959 40.02843565772009 18.3880495339625)
VID_20260226_110122-pos__0001333_d00,93300000695,hdSign,176.332824180484,2162,1250,POINT Z (117.36434012556369 40.02877719597434 13.115),POINT Z (117.3643204464331 40.028438153794255 18.21170073627724)
VID_20260226_110122-pos__0001333_d02,93300000696,hdSign,176.332824180484,2457,1232,POINT Z (117.36434012556369 40.02877719597434 13.115),POINT Z (117.36424653689959 40.02843565772009 18.3880495339625)
VID_20260226_110122-pos__0001334_d00,93300000695,hdSign,176.696195693644,2191,1205,POINT Z (117.36434452115718 40.0287227904212 13.086),POINT Z (117.3643204464331 40.028438153794255 18.21170073627724)
VID_20260226_110122-pos__0001334_d01,93300000696,hdSign,176.696195693644,2549,1184,POINT Z (117.36434452115718 40.0287227904212 13.086),POINT Z (117.36424653689959 40.02843565772009 18.3880495339625)
VID_20260226_110122-pos__0001335_d00,93300000695,hdSign,176.990252101034,2241,1134,POINT Z (117.36434868355136 40.028667250645356 13.048),POINT Z (117.3643204464331 40.028438153794255 18.21170073627724)
VID_20260226_110122-pos__0001335_d01,93300000696,hdSign,176.990252101034,2696,1107,POINT Z (117.36434868355136 40.028667250645356 13.048),POINT Z (117.36424653689959 40.02843565772009 18.3880495339625)
VID_20260226_110122-pos__0001336_d00,93300000695,hdSign,177.356567427599,2320,1022,POINT Z (117.36435251121144 40.02861059918815 13.006),POINT Z (117.3643204464331 40.028438153794255 18.21170073627724)
VID_20260226_110122-pos__0001336_d01,93300000697,hdSign,177.356567427599,2644,1285,POINT Z (117.36435251121144 40.02861059918815 13.006),POINT Z (117.36428283166876 40.02843727516039 15.325167497881724)
VID_20260226_110122-pos__0001336_d02,93300000698,hdSign,177.356567427599,2656,1591,POINT Z (117.36435251121144 40.02861059918815 13.006),POINT Z (117.36428269367934 40.02843727365857 12.542532553896146)
VID_20260226_110122-pos__0001336_d03,93300000696,hdSign,177.356567427599,2935,984,POINT Z (117.36435251121144 40.02861059918815 13.006),POINT Z (117.36424653689959 40.02843565772009 18.3880495339625)
VID_20260226_110122-pos__0001337_d00,93300000695,hdSign,177.472848992291,2512,753,POINT Z (117.36435583182383 40.028552761274675 12.968),POINT Z (117.3643204464331 40.028438153794255 18.21170073627724)
VID_20260226_110122-pos__0001337_d01,93300000697,hdSign,177.472848992291,3045,1174,POINT Z (117.36435583182383 40.028552761274675 12.968),POINT Z (117.36428283166876 40.02843727516039 15.325167497881724)
VID_20260226_110122-pos__0001337_d02,93300000698,hdSign,177.472848992291,3065,1606,POINT Z (117.36435583182383 40.028552761274675 12.968),POINT Z (117.36428269367934 40.02843727365857 12.542532553896146)
VID_20260226_110122-pos__0001337_d03,93300000696,hdSign,177.472848992291,3523,677,POINT Z (117.36435583182383 40.028552761274675 12.968),POINT Z (117.36424653689959 40.02843565772009 18.3880495339625)
VID_20260226_110122-pos__0001794_d00,93300000403,hdSign,173.762290731826,2122,1261,POINT Z (117.36138333992903 39.98882860128803 6.129),POINT Z (117.36138736929577 39.98849224332043 11.247170562939921)
VID_20260226_110122-pos__0001794_d02,93300000404,hdSign,173.762290731826,2424,1254,POINT Z (117.36138333992903 39.98882860128803 6.129),POINT Z (117.36131314500098 39.988489298104646 11.247173718260576)
VID_20260226_110122-pos__0001795_d00,93300000403,hdSign,173.72985916604,2181,1187,POINT Z (117.36139461533077 39.98874961525474 6.11),POINT Z (117.36138736929577 39.98849224332043 11.247170562939921)
VID_20260226_110122-pos__0001795_d01,93300000404,hdSign,173.72985916604,2587,1178,POINT Z (117.36139461533077 39.98874961525474 6.11),POINT Z (117.36131314500098 39.988489298104646 11.247173718260576)
VID_20260226_110122-pos__0001796_d00,93300000403,hdSign,173.78395452112,2300,1038,POINT Z (117.36140594855024 39.9886704870083 6.074),POINT Z (117.36138736929577 39.98849224332043 11.247170562939921)
VID_20260226_110122-pos__0001796_d01,93300000406,hdSign,173.78395452112,2616,1370,POINT Z (117.36140594855024 39.9886704870083 6.074),POINT Z (117.3613502115891 39.98849106252719 7.799629527968569)
VID_20260226_110122-pos__0001796_d03,93300000404,hdSign,173.78395452112,2929,1015,POINT Z (117.36140594855024 39.9886704870083 6.074),POINT Z (117.36131314500098 39.988489298104646 11.247173718260576)
VID_20260226_110122-pos__0001797_d00,93300000403,hdSign,173.805077397174,2677,551,POINT Z (117.361417154319 39.98859107753947 6.041),POINT Z (117.36138736929577 39.98849224332043 11.247170562939921)
VID_20260226_110122-pos__0001797_d01,93300000406,hdSign,173.805077397174,3393,1241,POINT Z (117.361417154319 39.98859107753947 6.041),POINT Z (117.3613502115891 39.98849106252719 7.799629527968569)
VID_20260226_110122-pos__0001797_d02,93300000408,hdSign,173.805077397174,3410,1651,POINT Z (117.361417154319 39.98859107753947 6.041),POINT Z (117.36134993418682 39.98849082820593 5.828492370793369)
VID_20260226_110122-pos__0001848_d00,93300000436,hdSign,181.366997768259,2207,1183,POINT Z (117.36161389764693 39.984777075239826 7.75),POINT Z (117.36155570961581 39.98448843468767 13.660244619977322)
