id,img,x1,y1,x2,y2,confidence,feature_id,feature_type,camera_heading,u,v,photo_wkt,sign_wkt
VID_20260226_110122-pos__0000330_d01,VID_20260226_110122-pos/0000330.jpeg,1973,1190,2098,1314,0.7825810313224792,93300000908,hdSign,357.258213642016,2036,1252,POINT Z (117.36173482789522 39.98726153493002 6.006),POINT Z (117.36175413783266 39.987706231396 11.71624040775399)
VID_20260226_110122-pos__0000330_d02,VID_20260226_110122-pos/0000330.jpeg,2191,1194,2318,1321,0.7019639611244202,93300000073,hdSign,357.258213642016,2255,1258,POINT Z (117.36173482789522 39.98726153493002 6.006),POINT Z (117.36182700939861 39.987707010330915 11.716237374410651)
VID_20260226_110122-pos__0000331_d01,VID_20260226_110122-pos/0000331.jpeg,1997,1119,2158,1279,0.7870157957077026,93300000908,hdSign,357.179334793848,2078,1199,POINT Z (117.36172889267229 39.98735659111003 5.985),POINT Z (117.36175413783266 39.987706231396 11.71624040775399)
VID_20260226_110122-pos__0000331_d02,VID_20260226_110122-pos/0000331.jpeg,2283,1126,2448,1288,0.6562545299530029,93300000073,hdSign,357.179334793848,2366,1207,POINT Z (117.36172889267229 39.98735659111003 5.985),POINT Z (117.36182700939861 39.987707010330915 11.716237374410651)
VID_20260226_110122-pos__0000332_d02,VID_20260226_110122-pos/0000332.jpeg,2452,993,2691,1225,0.8059834241867065,93300000073,hdSign,357.050358925043,2572,1109,POINT Z (117.36172261784532 39.9874510384109 5.971),POINT Z (117.36182700939861 39.987707010330915 11.716237374410651)
VID_20260226_110122-pos__0000333_d00,VID_20260226_110122-pos/0000333.jpeg,2160,657,2578,1062,0.9129879474639891,93300000908,hdSign,356.91908405269,2369,860,POINT Z (117.36171604802917 39.98754492980748 5.977),POINT Z (117.36175413783266 39.987706231396 11.71624040775399)
VID_20260226_110122-pos__0000333_d02,VID_20260226_110122-pos/0000333.jpeg,2658,1113,2790,1518,0.473023921251297,93300000075,hdSign,356.91908405269,2724,1316,POINT Z (117.36171604802917 39.98754492980748 5.977),POINT Z (117.36179065656728 39.98770627525398 7.76111434554759)
VID_20260226_110122-pos__0000333_d03,VID_20260226_110122-pos/0000333.jpeg,2871,671,3298,1081,0.9030269384384156,93300000073,hdSign,356.91908405269,3085,876,POINT Z (117.36171604802917 39.98754492980748 5.977),POINT Z (117.36182700939861 39.987707010330915 11.716237374410651)
VID_20260226_110122-pos__0000597_d00,VID_20260226_110122-pos/0000597.jpeg,2153,929,2575,1196,0.781956136226654,93300000130,hdSign,9.669718493852,2364,1063,POINT Z (117.36387200048314 40.01175192872541 9.407),POINT Z (117.36398567830844 40.01195024810918 15.110856543817231)
VID_20260226_110122-pos__0000597_d02,VID_20260226_110122-pos/0000597.jpeg,2668,1259,2808,1504,0.4142225384712219,93300000129,hdSign,9.669718493852,2738,1382,POINT Z (117.36387200048314 40.01175192872541 9.407),POINT Z (117.3640379780061 40.01194183224102 10.829148802517057)
VID_20260226_110122-pos__0000598_d00,VID_20260226_110122-pos/0000598.jpeg,2357,447,3195,972,0.909485638141632,93300000130,hdSign,9.673846619034,2776,710,POINT Z (117.3638914512811 40.01183956963561 9.553),POINT Z (117.36398567830844 40.01195024810918 15.110856543817231)
VID_20260226_110122-pos__0000598_d01,VID_20260226_110122-pos/0000598.jpeg,2875,338,3154,459,0.3986386954784393,93300000131,hdSign,9.673846619034,3015,399,POINT Z (117.3638914512811 40.01183956963561 9.553),POINT Z (117.36400606943063 40.01194734123158 17.144672405366357)
VID_20260226_110122-pos__0000598_d02,VID_20260226_110122-pos/0000598.jpeg,3377,1086,3694,1566,0.4734070897102356,93300000129,hdSign,9.673846619034,3536,1326,POINT Z (117.3638914512811 40.01183956963561 9.553),POINT Z (117.3640379780061 40.01194183224102 10.829148802517057)
